"","X","Animal_Species","Animal_Species_Corrected","Animal_Family","Animal_Taxa_Type","Plant_Species","Plant_Species_Corrected","Plant_Family","Plant_Life_Form","Plant_Part_Exploited","Interaction_Type","Data_Collection","Study_Site","Lat","Long","Study_ID","Genus","spp","Interaction","meanWD","sdWD"
"1","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Allanblackia floribunda","Allanblackia_floribunda","Clusiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Allanblackia","floribunda",NA,0.608416666666667,0.0941339098036177
"2","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Alstonia boonei","Alstonia_boonei","Apocynaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Alstonia","boonei",NA,0.46399,0.0941339098036177
"3","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Enantia chlorantha","Annickia_chlorantha","Annonaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Annickia","chlorantha",NA,0.459642857142857,0.0941339098036177
"4","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Anopyxis klaineana","Anopyxis_klaineana","Rhizophoraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Anopyxis","klaineana",NA,0.799909090909091,0.0941339098036177
"5","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Blighia welwitschii","Blighia_welwitschii","Sapindaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Blighia","welwitschii",NA,0.68525,0.0941339098036177
"6","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Bombax buonopozense","Bombax_buonopozense","Malvaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Bombax","buonopozense",NA,0.357515151515152,0.0941339098036177
"7","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Breviea sericea","Breviea_sericea","Sapotaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Breviea","sericea",NA,0.481,0.0941339098036177
"8","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Canarium schweinfurthii","Canarium_schweinfurthii","Burseraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Canarium","schweinfurtii",NA,0.478005621794872,0.0941339098036177
"9","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Celtis mildraedii","Celtis_mildbraedii","Cannabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Celtis","mildbraedii",NA,0.566228571428571,0.0941339098036177
"10","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Cleistopholis glauca","Cleistopholis_glauca","Annonaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Cleistopholis","glauca",NA,0.32235,0.0941339098036177
"11","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Cleistopholis patens","Cleistopholis_patens","Annonaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Cleistopholis","patens",NA,0.32235,0.0941339098036177
"12","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Coelocaryon preussii","Coelocaryon_preussii","Myristicaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Coelocaryon","preussii",NA,0.49353216374269,0.0941339098036177
"13","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Cylicodiscus gabunensis","Cylicodiscus_gabunensis","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Cylicodiscus","gabunensis",NA,0.778842105263158,0.0941339098036177
"14","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Dacryodes edulis","Pachylobus_edulis","Burseraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Dacryodes","edulis",NA,0.568825303631554,0.0941339098036177
"15","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Desbordesia glaucescens","Desbordesia_glaucescens","Irvingiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Desbordesia","insignis",NA,0.931,0.0941339098036177
"16","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Discoglypremna caloneura","Discoglypremna_caloneura","Euphorbiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Discoglypremna","caloneura",NA,0.3396,0.0941339098036177
"17","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Distemonanthus benthamianus","Distemonanthus_benthamianus","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Distemonanthus","benthamianus",NA,0.604571428571429,0.0941339098036177
"18","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Dracaena arborea","Dracaena_kochiana","Asparagaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Dracaena","kochiana",NA,0.41825,0.0941339098036177
"19","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Pachypodanthium staudtii","Duguetia_staudtii","Annonaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Duguetia","staudtii",NA,0.72885,0.0941339098036177
"20","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Entandophragma cylindricum","Entandophragma_cylindricum","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Entandophragma","cylindricum",NA,0.594346097689909,0.123401724247162
"21","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Eriocoelum macrocarpum","Eriocoelum_macrocarpum","Sapindaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Eriocoelum","macrocarpum",NA,0.523,0.0941339098036177
"22","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Erythrophloem suaveolens","Erythrophleum_lasianthum","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Erythrophleum","lasianthum",NA,0.808748214285714,0.0941339098036177
"24","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Ficus dekdekena","Ficus_thonningii","Moraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Ficus","thonningii",NA,0.405534661835749,0.0941339098036177
