"","Study_ID","Study_Site"
"1","72","Kibale"
"2","16","Makokou"
"3","7","Dja Reserve"
"4","23","Dja Reserve"
"5","6","Lope Reserve"
"6","44","Tai Forest"
"7","1","Dja Reserve"
"8","83","Kalinzu Forest Reserve"
"9","55","Budongo Forest"
"10","68","Kakamega Forest"
"11","51","Bale Mountains"
"12","66","Odobullu Forest"
"13","71","Korup National Park"
"14","61","Kibale"
"15","27","Tiwai"
"16","19","Kala Maloue National Park"
"17","46","Bwindi Impenetrable National Park"
"18","41","Bwindi Impenetrable National Park"
"19","26","Kahuzi-Biega National Park"
"20","21","Mondika Research Center"
"21","13","Lope Reserve"
"22","14","Nouabalé-Ndoki National Park"
"23","30","Lope Reserve"
"24","11","Lope Reserve"
"25","36","Bai Hokou"
"26","64","Loango National Park"
"27","22","Dzanga-Ndoki National Park"
"28","58","Dja Reserve"
"29","17","Logging concession"
"30","28","Lope Reserve"
"31","65","Lope Reserve"
"32","12","Loango National Park"
"33","31","Bwindi Impenetrable National Park"
"34","76","Kibale"
"35","9","Bossematié Forest Reserve"
"36","10","Loango National Park"
"37","15","Lope Reserve"
"38","8","Santchou Reserve"
"39","42","Kibale"
"40","63","Manovo Gounda St Floris National Park- Gounda "
"41","18","Banyang-Mbo Wildlife Sanctuary"
"42","78","Makokou"
"43","29","Kibale"
"44","35","Kahuzi-Biega National Park"
"45","43","Kibale"
"46","45","Bulindi"
"47","53","Nyungwe National Park"
"48","74","Kalinzu Forest Reserve"
"49","57","Ngel Nyaki Forest Reserve"
"50","47","Rubondo Island"
"51","70","Budongo Forest"
"52","32","Budongo Forest"
"53","59","Gishwati forest"
"54","24","Ebo Forest"
"55","62","Budongo Forest"
"56","73","Mahale Mountains National Park"
"57","52","Comoe National Park"
"58","33","Mikumi National Park"
"59","48","Tiwai"
"60","60","Lope Reserve"
"61","84","Ndoki Fores"
