"","Species","Genus","Family","Guild","Body_Mass","Brain_Mass","Generation_Length","IUCN_Status","Habitat","Taxa","effort"
"1","Cephalophus_callipygus","Cephalophus","Bovidae","Frugivore",20500,88.4495,1971,"LC","Forest","Mammal",2
"2","Cephalophus_dorsalis","Cephalophus","Bovidae","Omnivore",40000,92.897,1825,"NT","Forest","Mammal",2
"3","Cephalophus_monticola","Cephalophus","Bovidae","Herbivore",5650,48,1642.5,"LC","Forest","Mammal",2
"4","Cephalophus_silvicultor","Cephalophus","Bovidae","Herbivore",62500,170,2299.5,"NT","Mixed","Mammal",2
"5","Ceratogymna_atrata","Ceratogymna","Bucerotidae","Frugivore",1250,10.2,5767,"LC","Forest","Bird",4
"6","Ceratogymna_cylindricus","Ceratogymna","Bucerotidae","Frugivore",1038,10.2,6935,"VU","Forest","Bird",3
"7","Bycanistes_fistulator","Bycanistes","Bucerotidae","Omnivore",450,1.074,6935,"LC","Forest","Bird",1
"8","Lophocebus_albigena","Lophocebus","Cercopithecidae","Frugivore",5500,96.8,3650,"VU","Forest","Mammal",4
"9","Cercocebus_atys","Cercocebus","Cercopithecidae","Omnivore",5750,113.05,3285,"VU","Mixed","Mammal",1
"10","Cercopithecus_cephus","Cercopithecus","Cercopithecidae","Omnivore",2800,76,2920,"LC","Forest","Mammal",3
"11","Cercopithecus_pogonias","Cercopithecus","Cercopithecidae","Omnivore",3000,59.56481481,3285,"NT","Forest","Mammal",1
"12","Cercopithecus_ascanius","Cercopithecus","Cercopithecidae","Omnivore",2900,54.9,4444.788,"LC","Forest","Mammal",2
"13","Allochrocebus_lhoesti","Allochrocebus","Cercopithecidae","Omnivore",3.4,47.2,10,"VU","Forest","Mammal",1
"14","Cercopithecus_mitis","Cercopithecus","Cercopithecidae","Omnivore",3700,75,4917.171,"LC","Forest","Mammal",3
"15","Cercopithecus_mona","Cercopithecus","Cercopithecidae","Omnivore",3.2,67,11,"NT","Forest","Mammal",1
"16","Cercopithecus_nictitans","Cercopithecus","Cercopithecidae","Omnivore",4400,71.125,3285,"NT","Forest","Mammal",2
"17","Chlorocebus_djamdjamensis","Chlorocebus","Cercopithecidae","Folivore",3300,65.90518229,4533.483,"VU","Forest","Mammal",2
"18","Piliocolobus_badius","Procolobus","Cercopithecidae","Herbivore",7750,78,3650,"EN","Mixed","Mammal",2
"19","Colobus_guereza","Colobus","Cercopithecidae","Folivore",7700,83.9,4509.575,"LC","Forest","Mammal",3
"20","Colobus_polykomos","Colobus","Cercopithecidae","Herbivore",8300,70.2,3650,"EN","Forest","Mammal",1
"21","Colobus_satanas","Colobus","Cercopithecidae","Herbivore",9900,74.9,3650,"VU","Forest","Mammal",1
"22","Corythaeola_cristata","Corythaeola","Musophagidae","Herbivore",1000,1.37,1204.5,"LC","Forest","Bird",1
"23","Erythrocebus_patas","Erythrocebus","Cercopithecidae","Omnivore",6700,100.2,3650,"NT","Mixed","Mammal",1
"24","Gorilla_beringei","Gorilla","Hominidae","Folivore",84000,491.27,7300,"CR","Forest","Mammal",5
"25","Gorilla_gorilla","Gorilla","Hominidae","Herbivore",65000,454.55,8030,"CR","Forest","Mammal",18
"26","Heliosciurus_rufobrachium","Heliosciurus","Sciuridae","Frugivore",710,5.75,1277.5,"LC","Mixed","Mammal",2
"27","Loxodonta_africana","Loxodonta","Elephantidae","Herbivore",2850000,5436.4,9125,"EN","Mixed","Mammal",7
"28","Loxodonta_cyclotis","Loxodonta","Elephantidae","Herbivore",6e+05,5436.4,11315,"CR","Mixed","Mammal",2
"29","Mandrillus_sphinx","Mandrillus","Cercopithecidae","Omnivore",12500,159.2,2920,"VU","Forest","Mammal",2
"30","Pan_troglodytes","Pan","Hominidae","Omnivore",30000,354.81,9125,"EN","Mixed","Mammal",28
"31","Papio_anubis","Papio","Cercopithecidae","Herbivore",40500,152.4,3833.595,"LC","Mixed","Mammal",4
"32","Papio_cynocephalus","Papio","Cercopithecidae","Omnivore",12950,156.1,6188.575,"LC","Mixed","Mammal",1
"33","Procolobus_verus","Procolobus","Cercopithecidae","Folivore",3750,52.60038807,3285,"VU","Forest","Mammal",2
