,Plant_Species_Corrected,family,genus,mFruitLength_sp,,
1,Antrocaryon_klaineanum,Anacardiaceae,Antrocaryon,3,https://uses.plantnet-project.org/e/index.php?title=Antrocaryon_klaineanum_(PROTA)&mobileaction=toggle_view_mobile,
2,Canarium_schweinfurthii,Burseraceae,Canarium,37.25,Sinnott-Armstrong2019,
3,Chrysophyllum_beguei,Sapotaceae,Chrysophyllum,2.8,http://www.worldfloraonline.org/taxon/wfo-0000854366,
4,Detarium_macrocarpum,Fabaceae,Detarium,4,https://pdf.sciencedirectassets.com/271163/1-s2.0-S0308814618X00260/1-s2.0-S0308814618316418/am.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCrJ0M0j66bT0eVH8%2BhwZCDRWmh32BFpZPrS48Vj4CTygIhAN6xB4yJiOkNXt9hc4mDD%2FSrX%2BaZyG1KTXWsvtDKcKHiKtUECMT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgysXZrY6CzTsQAEa3gqqQRg1KYSsDUrhmGYSoOxfL32kFcFXdasWqTYfawcipGIBze8XsEdUzYTKgRBVCIPKPhTlgLdwtkCgOx%2BMMbh5NjVc0wIPh8OTBOTUq74%2BfrylLgwbLMsz7j04aUR%2FU0bgbJEaTyk2OAQcRgAWGYtwBLcchOC8LPkzGQ3%2BP%2BwHv051g9FuqdaVDJCt580sHRJxkKCnuOvoHqcq5QQIyO1MGbu1kX7lPKxcalXKIzBKmrpwQVQqM7pVT%2FltY%2B%2FRKfCsAViJcIittMZTH76bzzlJimifYPr9b4xPKnPFIUqvcK3OOYWzlKunSzvL46Nvz7SxXkVQqDpboiXR6%2FGvZ%2FQ8m3FQLDfy0ni5u2C0ugrS4Vs3ykJZR6eAam4CTWxV1EXcY23YCQ0KyEYiMpXX7kHdVwc38%2FmoL39HQVBZlQMtz6QeFpyirRBZqZzgiuSrvtRIW1pAW6Y%2B96jFqHf6V9NGFfAqslQ%2BFfkjPt0%2Bp04c6IqQLdPdBiXRgJhfeVYKNZHA81D3%2FoOHiBISaXnTCVemkGCozAG5EK%2F8VZQkkRBP3IL9w2hjmeUDvzn91wzbB%2Bc1x9OV7g655DVxdFCn25obpKP%2BWdrfQwBzj4mrJYBP1nB5FJw8BohxFHrFuJ6JJXSR2zNRsZ%2B0nu1bsSeBqDPbHniVNFEydEkTVtqEJhrzaNBLAcI4z5VWOy2pSZngeBQzkIDO9%2FTbjHWAobvGft04ZOftjThqs09wqG0MJ7A25oGOqgBDHIofUXhR8bxL1FtunkYBnjysEb%2FmE0wbxX%2FvWiV9Ipx1LQ938WVBb1Iu87RN0W1wK2VsJfYaHSn0kmF7cmitATMjoG3%2FakimUzdGTZAA3SQkSu4Ar4DBjgQYsMU5DRV3S2OGax9nz6CiodWOxWB%2Bhi6hJPVoRb1NZB97R5Mo3aW6ChcaBlA4NdJ9nC1dSi2ocXqrpgYDENRjzLLqujcmnqO04WIWHXo&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20221024T195248Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSNO6F7FP%2F20221024%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a98d15010955b1a0b1e87e7e4da30a6ab8c07cba226cf49e5aed996210f62023&hash=235e6cab61c71f1c37d4be9bcd6367f0d411c6744c241e247a72e872944d6b38&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0308814618316418&tid=pdf-f5c7d2b7-05d8-418a-b777-d624d2702775&sid=801b710b669be342894b423297de7f1c69a0gxrqa&type=client,
5,Hugonia_planchonii,Linaceae,Hugonia,14.6,Sinnott-Armstrong2019,
6,Hugonia_platysepala,Linaceae,Hugonia,NA,,
7,Hugonia_spicata,Linaceae,Hugonia,NA,,
8,Irvingia_gabonensis,Irvingiaceae,Irvingia,69.85,Sinnott-Armstrong2019,
9,Klainedoxa_gabonensis,Irvingiaceae,Klainedoxa,46.65,Sinnott-Armstrong2019,
10,Mammea_africana,Calophyllaceae,Mammea,NA,,
