"","Study_ID","Country","Study_Site","Habitat"
"1",25,"Cameroon","Dja Reserve","Forest"
"2",72,"Uganda","Kibale","Forest"
"3",40,"Gabon","Makokou","Forest"
"4",16,"Gabon","Makokou","Forest"
"5",3,"Cameroon","Dja Reserve","Forest"
"6",7,"Cameroon","Dja Reserve","Forest"
"7",23,"Cameroon","Dja Reserve","Forest"
"8",6,"Gabon","Lope Reserve","Forest"
"9",44,"Ivory Coast","Tai Forest","Forest"
"10",69,"Kenya","Kibale","Forest"
"11",1,"Cameroon","Dja Reserve","Forest"
"12",83,"Uganda","Kalinzu Forest Reserve","Forest"
"13",55,"Uganda","Budongo Forest","Forest"
"14",68,"Kenya","Kakamega Forest","Forest"
"15",51,"Ethiopia","Bale Mountains","Forest"
"16",66,"Ethiopia","Odobullu Forest","Forest"
"17",71,"Cameroon","Korup National Park","Forest"
"18",61,"Uganda","Kibale","Forest"
"19",27,"Sierra Leone","Tiwai","MixedWetland"
"20",19,"Cameroon","Kala Maloue National Park","MixedSavannaGrassland"
"21",46,"Uganda","Bwindi Impenetrable National Park","Forest"
"22",39,"Uganda","Bwindi Impenetrable National Park","Forest"
"23",41,"Uganda","Bwindi Impenetrable National Park","Forest"
"24",26,"DRC","Kahuzi-Biega National Park","Forest"
"25",21,"Congo","Mondika Research Center","Forest"
"26",13,"Gabon","Lope Reserve","Forest"
"27",14,"Congo","Nouabalé-Ndoki National Park","Forest"
"28",30,"Gabon","Lope Reserve","Forest"
"29",11,"Gabon","Lope Reserve","Forest"
"30",36,"Central African Republic","Bai Hokou","Forest"
"31",64,"Gabon","Loango National Park","Forest"
"32",22,"Central African Republic","Dzanga-Ndoki National Park","Forest"
"33",58,"Cameroon","Dja Reserve","Forest"
"34",17,"Gabon","Logging concession","Forest"
"35",28,"Gabon","Lope Reserve","Forest"
"36",65,"Gabon","Lope Reserve","Forest"
"37",12,"Gabon","Loango National Park","MixedSavannaWetland"
"38",31,"Uganda","Bwindi Impenetrable National Park","Forest"
"39",81,"Cameroon, Central African Republic, Republic of Congo","Various","Forest"
"49",76,"Uganda","Kibale","Forest"
"50",9,"Ivory Coast","Bossematié Forest Reserve","Forest"
"51",10,"Gabon","Loango National Park","MixedSavannaWetland"
"52",15,"Gabon","Lope Reserve","Forest"
"53",8,"Cameroon","Santchou Reserve","MixedGrassland"
"54",42,"Uganda","Kibale","Forest"
"55",63,"Central African Republic","Manovo Gounda St Floris National Park- Gounda ","Forest"
"56",18,"Cameroon","Banyang-Mbo Wildlife Sanctuary","Forest"
"57",78,"Gabon","Makokou","MixedSavannaWetland"
"59",29,"Uganda","Kibale","Forest"
"60",35,"DRC","Kahuzi-Biega National Park","Forest"
"61",50,"Uganda","Budongo Forest","Forest"
"62",43,"Uganda","Kibale","Forest"
"63",45,"Uganda","Bulindi","Forest"
"64",53,"Rwanda","Nyungwe National Park","Forest"
"65",77,"Tanzania","Issa Valley ","MixedGrasslandWetland"
"66",74,"Uganda","Kalinzu Forest Reserve","Forest"
"67",57,"Nigeria","Ngel Nyaki Forest Reserve","Forest"
"68",37,"Gabon","Makokou","Forest"
"69",47,"Tanzania","Rubondo Island","Forest"
"70",70,"Uganda","Budongo Forest","Forest"
"71",32,"Uganda","Budongo Forest","Forest"
"72",59,"Rwanda","Gishwati forest","Forest"
"73",24,"Cameroon","Ebo Forest","Forest"
"74",62,"Uganda","Budongo Forest","Forest"
"75",49,"Uganda","Kibale","Forest"
"76",38,"Uganda","Kibale","Forest"
"77",73,"Tanzania","Mahale Mountains National Park","Forest"
"78",80,"Rwanda","Nyungwe National Park","Forest"
"79",54,"Ivory Coast","Comoe National Park","MixedSavanna"
"80",4,"Ivory Coast","Comoe National Park","MixedSavanna"
"81",52,"Ivory Coast","Comoe National Park","MixedSavanna"
"82",56,"Uganda","Kibale","Forest"
"83",33,"Tanzania","Mikumi National Park","MixedWetland"
"84",67,"Uganda","Kibale","Forest"
"85",48,"Sierra Leone","Tiwai","Forest"
"86",2,"Cameroon","Dja Reserve","Forest"
"87",20,"Gabon","Moukalaba-Doudou National Park","MixedSavannaWetland"
"88",5,"Gabon","Makokou","Forest"
"89",75,"Nigeria","Ngel Nyaki Forest Reserve","Forest"
"90",60,"Gabon","Lope Reserve","Forest"
"91",84,"DRC","Ndoki Fores","Forest"
