"","Species","Genus","Family","meanWD","WD_level","IUCN"
"1","Antrocaryon_klaineanum","Antrocaryon","Anacardiaceae",0.498788888888889,"genus",NA
"2","Canarium_schweinfurthii","Canarium","Burseraceae",0.478005621794872,"genus","LC"
"3","Chrysophyllum_beguei","Chrysophyllum","Sapotaceae",0.665168724279835,"genus","LC"
"4","Detarium_macrocarpum","Detarium","Fabaceae",0.7,"genus","LC"
"5","Hugonia_planchonii","Hugonia","Linaceae",0.595714885285868,"dataset","LC"
"6","Hugonia_platysepala","Hugonia","Linaceae",0.595714885285868,"dataset","LC"
"7","Hugonia_spicata","Hugonia","Linaceae",0.595714885285868,"dataset",NA
"8","Irvingia_gabonensis","Irvingia","Irvingiaceae",0.819569444444444,"genus","NT"
"9","Klainedoxa_gabonensis","Klainedoxa","Irvingiaceae",0.917791666666667,"genus","LC"
"10","Mammea_africana","Mammea","Calophyllaceae",0.778604166666667,"genus","LC"
"11","Pseudospondias_longifolia","Pseudospondias","Anacardiaceae",0.595714885285868,"dataset",NA
"12","Ricinodendron_heudelotii","Ricinodendron","Euphorbiaceae",0.2106,"genus","LC"
"13","Donella_pruniformis","Donella","Sapotaceae",0.595714885285868,"dataset",NA
"14","Annickia_chlorantha","Annickia","Annonaceae",0.459642857142857,"genus","LC"
"15","Anopyxis_klaineana","Anopyxis","Rhizophoraceae",0.799909090909091,"genus","VU"
"16","Blighia_welwitschii","Blighia","Sapindaceae",0.68525,"genus","LC"
"17","Bridelia_atroviridis","Bridelia","Phyllanthaceae",0.555032738095238,"genus",NA
"18","Celtis_mildbraedii","Celtis","Cannabaceae",0.566228571428571,"genus","LC"
"19","Celtis_tessmannii","Celtis","Cannabaceae",0.566228571428571,"genus",NA
"20","Cleistopholis_glauca","Cleistopholis","Annonaceae",0.32235,"genus","LC"
"21","Cleistopholis_patens","Cleistopholis","Annonaceae",0.32235,"genus","LC"
"22","Coelocaryon_preussii","Coelocaryon","Myristicaceae",0.49353216374269,"genus","LC"
"23","Pachylobus_edulis","Pachylobus","Burseraceae",0.595714885285868,"dataset",NA
"24","Discoglypremna_caloneura","Discoglypremna","Euphorbiaceae",0.3396,"genus","LC"
"25","Duguetia_staudtii","Duguetia","Annonaceae",0.72885,"genus","LC"
"26","Elaeis_guineensis","Elaeis","Arecaceae",0.595714885285868,"dataset","LC"
"27","Eremospatha_macrocarpa","Eremospatha","Arecaceae",0.595714885285868,"dataset","LC"
"28","Eriocoelum_macrocarpum","Eriocoelum","Sapindaceae",0.523,"genus","LC"
"29","Ficus_thonningii","Ficus","Moraceae",0.405534661835749,"genus",NA
"30","Greenwayodendron_suaveolens","Greenwayodendron","Annonaceae",0.595714885285868,"dataset","EN"
"31","Leplaea_cedrata","Leplaea","Meliaceae",0.541718518518518,"genus","VU"
"32","Guarea_thompsonii","Guarea","Meliaceae",0.607288888888889,"genus","VU"
"33","Heisteria_zimmereri","Heisteria","Olacaceae",0.69625,"genus","LC"
"34","Laccosperma_secundiflorum","Laccosperma","Arecaceae",0.595714885285868,"dataset","LC"
"35","Lannea_welwitschii","Lannea","Anacardiaceae",0.452416666666667,"genus","LC"
"36","Maesopsis_eminii","Maesopsis","Rhamnaceae",0.3835,"genus","LC"
"37","Margaritaria_discoidea","Margaritaria","Phyllanthaceae",0.673944444444444,"genus","LC"
"38","Musanga_cecropioides","Musanga","Urticaceae",0.242833333333333,"genus","LC"
"39","Petersianthus_macrocarpus","Petersianthus","Lecythidaceae",0.60825,"genus","LC"
"40","Pycnanthus_angolensis","Pycnanthus","Myristicaceae",0.4089,"genus","LC"
"41","Raphia_monbuttorum","Raphia","Arecaceae",0.595714885285868,"dataset","LC"
"42","Rauvolfia_caffra","Rauvolfia","Apocynaceae",0.486345238095238,"genus","LC"
"43","Staudtia_kamerunensis","Staudtia","Myristicaceae",0.758509803921569,"genus","LC"
"44","Sterculia_oblonga","Sterculia","Malvaceae",0.404821666666667,"genus",NA
"45","Strombosia_pustulata","Strombosia","Olacaceae",0.721306547619048,"genus","LC"
"46","Strombosia_scheffleri","Strombosia","Olacaceae",0.721306547619048,"genus","LC"
"47","Strombosiopsis_tetrandra","Strombosiopsis","Olacaceae",0.663,"genus","LC"
"48","Terminalia_superba","Terminalia","Combretaceae",0.6304967779212,"genus",NA
"49","Trichilia_gilgiana","Trichilia","Meliaceae",0.644092948717949,"genus","LC"
"50","Trichilia_heudelotii","Trichilia","Meliaceae",0.644092948717949,"genus","LC"
"51","Uapaca_mole","Uapaca","Phyllanthaceae",0.626341558441558,"genus","LC"
"52","Psorospermum_guineense","Psorospermum","Hypericaceae",0.689,"genus",NA
"53","Breviea_sericea","Breviea","Sapotaceae",0.481,"genus","NT"
