Milicia excelsa
Dialium pachyphyllum
Lannea welwitschii
Hexalobus crispiflorus
Autranella congolensis
Staudtia kamerunensis
Chrysophyllum africanum
Terminalia superba
Ricinodendron heudelotii
Ficus mucuso
Pycnanthus angolensis
Plagiostyles africana
Strombosia pustulata
Heisteria parvifolia
Santiria trimera
Coelocaryon preussii
Uapaca mole
Desbordesia glaucescens
Anonidium mannii
Greenwayodendron suaveolens
Carapa procera
Xylopia aethiopica
Antidesma vogelianum
Cola lizae
Annickia chlorantha
Trichoscypha acuminata
Coula edulis
Xylopia staudtii
Strombosiopsis tetrandra
Maesopsis eminii
Irvingia gabonensis
Scyphocephalium mannii
Musanga cecropioides
Symphonia globulifera
Massularia acuminata
Irvingia grandifolia
Aoranthe cladantha
Duboscia macrocarpa
Xylopia rubescens
Pentadesma butyracea
Maranthes glabra
Scytopetalum klaineanum
Parkia bicolor
Nauclea diderrichii
Irvingia robur
Discoglypremna caloneura
Zanthoxylum heitzii
Klainedoxa gabonensis
Drypetes gossweileri
Uvariastrum pierreanum
Sacoglottis gabonensis
Trichoscypha oddonii
Piptadeniastrum africanum
Celtis tessmannii
Panda oleosa
Canarium schweinfurthii
Pseudospondias microcarpa
Antrocaryon klaineanum
Detarium macrocarpum
Margaritaria discoidea
Alstonia boonei
Ongokea gore
Pterocarpus soyauxii
Vitex doniana
Harungana madagascariensis
Tabernaemontana crassa
Cola rostrata
Myrianthus arboreus
Diospyros crassiflora
Isolona hexaloba
Psychotria vogeliana
Funtumia elastica
Guibourtia tessmannii
Parinari excelsa
Bobgunnia fistuloides
Ganophyllum giganteum
Hylodendron gabunense
Brenania brieyi
Klainedoxa trillesii
Diospyros hoyleana
Xylopia quintasii
Sterculia tragacantha
Elaeis guineensis
Tieghemella africana
Omphalocarpum elatum
Uapaca guineensis
Gilbertiodendron dewevrei
Cleistopholis patens
Picralima nitida
Shirakiopsis elliptica
Chrysophyllum beguei
Dialium tessmannii
Uapaca heudelotii
Treculia africana
Dialium lopense
Strombosia grandifolia
Mangifera indica
Angylocalyx pynaertii
Tetrapleura tetraptera
Nauclea pobeguinii
Diospyros dendo
Balanites wilsoniana
Scottellia klaineana
Irvingia excelsa
Diospyros iturensis
Uapaca staudtii
Parkia filicoidea
Duguetia staudtii
Antiaris toxicaria
Albizia ferruginea
Funtumia africana
Pseudospondias longifolia
Celtis mildbraedii
Omphalocarpum procerum
Monodora myristica
Cryptosepalum staudtii
Pancovia laurentii
Keayodendron bridelioides
Poga oleosa
Vitex grandifolia
Garcinia kola
Pachyelasma tessmannii
Chytranthus talbotii
Tridesmostemon omphalocarpoides
