,Study_ID,Methodology
1,16,Feces
2,7,Observation
3,23,Feces
4,6,Feces_observations
5,44,Observation
6,72,Observation
7,1,Feces
8,83,Observation
9,55,Observation
10,68,Feces_observations
11,66,Observation
12,51,Observation
13,71,Observation
14,61,Observation
15,27,Observation
16,19,Observation
17,46,Observation_traces
18,41,Observation
19,26,Feces_observations
20,13,Feces
21,14,Feces_observations
22,11,Feces_observations
23,21,Feces_observations
24,36,Observation
25,22,Feces
26,58,Feces
27,17,Feces
28,30,Feces_observations
29,64,Feces_observations
30,65,Observation
31,12,Feces
32,28,Feces_observations
33,31,Feces_observations
34,76,Observation
35,10,Feces
36,9,Feces_traces
37,15,Feces_observations
38,8,Feces_observations
39,18,Feces
40,63,Feces_observations
41,42,Traces
42,78,Feces
43,35,Feces_observations
44,53,Feces
45,45,Feces_observations
46,74,Feces
47,57,Feces
48,29,Feces
49,43,Feces_observations
50,47,Feces_observations
51,70,Feces
52,32,Observation
53,59,Feces
54,24,Feces
55,62,Observation
56,73,Feces
57,52,Feces
58,33,Observation
59,48,Observation
60,60,Feces
61,84,Feces
