"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Blepharis_stuhlmannii","Blepharis","Plant_1","Family_1"
"Hygrophila_auriculata","Hygrophila","Plant_2","Family_1"
"Mimulopsis_solmsii","Mimulopsis","Plant_3","Family_1"
"Caloncoba_crepiniana","Caloncoba","Plant_4","Family_2"
"Caloncoba_welwitschii","Caloncoba","Plant_5","Family_2"
"Dasylepis_eggelingii","Dasylepis","Plant_6","Family_2"
"Rawsonia_lucida","Rawsonia","Plant_7","Family_2"
"Scottellia_klaineana","Scottellia","Plant_8","Family_2"
"Antrocaryon_klaineanum","Antrocaryon","Plant_9","Family_3"
"Antrocaryon_micraster","Antrocaryon","Plant_10","Family_3"
"Antrocaryon_nannanii","Antrocaryon","Plant_11","Family_3"
"Fegimanra_africana","Fegimanra","Plant_12","Family_3"
"Harpephyllum_caffrum","Harpephyllum","Plant_13","Family_3"
"Lannea_acida","Lannea","Plant_14","Family_3"
"Lannea_barteri","Lannea","Plant_15","Family_3"
"Lannea_nigritana","Lannea","Plant_16","Family_3"
"Lannea_schweinfurthii","Lannea","Plant_17","Family_3"
"Lannea_welwitschii","Lannea","Plant_18","Family_3"
"Lannea_zenckeri","Lannea","Plant_19","Family_3"
"Mangifera_indica","Mangifera","Plant_20","Family_3"
"Pseudospondias_longifolia","Pseudospondias","Plant_21","Family_3"
"Pseudospondias_microcarpa","Pseudospondias","Plant_22","Family_3"
"Sclerocarya_birrea","Sclerocarya","Plant_23","Family_3"
"Sorindeia_africana","Sorindeia","Plant_24","Family_3"
"Sorindeia_grandifolia","Sorindeia","Plant_25","Family_3"
"Sorindeia_judlandifolia","Sorindeia","Plant_26","Family_3"
"Spondias_mombin","Spondias","Plant_27","Family_3"
"Trichoscypha_abut","Trichoscypha","Plant_28","Family_3"
"Trichoscypha_acuminata","Trichoscypha","Plant_29","Family_3"
"Trichoscypha_arborea","Trichoscypha","Plant_30","Family_3"
"Trichoscypha_bijuga","Trichoscypha","Plant_31","Family_3"
"Trichoscypha_lucens","Trichoscypha","Plant_32","Family_3"
"Trichoscypha_mannii","Trichoscypha","Plant_33","Family_3"
"Trichoscypha_oddonii","Trichoscypha","Plant_34","Family_3"
"Trichoscypha_patens","Trichoscypha","Plant_35","Family_3"
"Trichoscypha_reygaertii","Trichoscypha","Plant_36","Family_3"
"Poga_oleosa","Poga","Plant_37","Family_4"
"Annickia_ambigua","Annickia","Plant_38","Family_5"
"Annickia_chlorantha","Annickia","Plant_39","Family_5"
"Annickia_pilosa","Annickia","Plant_40","Family_5"
"Annickia_polycarpa","Annickia","Plant_41","Family_5"
"Annona_glabra","Annona","Plant_42","Family_5"
"Annona_muricata","Annona","Plant_43","Family_5"
"Annona_senegalensis","Annona","Plant_44","Family_5"
"Anonidium_mannii","Anonidium","Plant_45","Family_5"
"Cleistopholis_glauca","Cleistopholis","Plant_46","Family_5"
"Cleistopholis_patens","Cleistopholis","Plant_47","Family_5"
"Duguetia_barteri","Duguetia","Plant_48","Family_5"
"Duguetia_confinis","Duguetia","Plant_49","Family_5"
"Duguetia_staudtii","Duguetia","Plant_50","Family_5"
"Greenwayodendron_oliveri","Greenwayodendron","Plant_51","Family_5"
"Greenwayodendron_suaveolens","Greenwayodendron","Plant_52","Family_5"
"Hexalobus_bussei","Hexalobus","Plant_53","Family_5"
"Hexalobus_crispiflorus","Hexalobus","Plant_54","Family_5"
"Isolona_congolana","Isolona","Plant_55","Family_5"
"Isolona_deightonii","Isolona","Plant_56","Family_5"
"Isolona_hexaloba","Isolona","Plant_57","Family_5"
"Meiocarpidium_lepidotum","Meiocarpidium","Plant_58","Family_5"
"Monanthotaxis_congoensis","Monanthotaxis","Plant_59","Family_5"
"Monanthotaxis_diclina","Monanthotaxis","Plant_60","Family_5"
"Monodora_angolensis","Monodora","Plant_61","Family_5"
"Monodora_myristica","Monodora","Plant_62","Family_5"
"Monodora_tenuifolia","Monodora","Plant_63","Family_5"
"Monodora_undulata","Monodora","Plant_64","Family_5"
"Piptostigma_fasciculatum","Piptostigma","Plant_65","Family_5"
"Uvaria_angolensis","Uvaria","Plant_66","Family_5"
"Uvaria_chamae","Uvaria","Plant_67","Family_5"
"Uvariastrum_pierreanum","Uvariastrum","Plant_68","Family_5"
"Uvariastrum_zenkeri","Uvariastrum","Plant_69","Family_5"
"Uvariodendron_calophyllum","Uvariodendron","Plant_70","Family_5"
"Uvariopsis_bakeriana","Uvariopsis","Plant_71","Family_5"
"Uvariopsis_congensis","Uvariopsis","Plant_72","Family_5"
"Uvariopsis_congolana","Uvariopsis","Plant_73","Family_5"
"Uvariopsis_guineensis","Uvariopsis","Plant_74","Family_5"
"Uvariopsis_tripetala","Uvariopsis","Plant_75","Family_5"
"Xylopia_acutiflora","Xylopia","Plant_76","Family_5"
"Xylopia_aethiopica","Xylopia","Plant_77","Family_5"
"Xylopia_gilbertii","Xylopia","Plant_78","Family_5"
"Xylopia_hypolampra","Xylopia","Plant_79","Family_5"
"Xylopia_katangensis","Xylopia","Plant_80","Family_5"
"Xylopia_letestui","Xylopia","Plant_81","Family_5"
"Xylopia_longipetala","Xylopia","Plant_82","Family_5"
"Xylopia_phloiodora","Xylopia","Plant_83","Family_5"
"Xylopia_quintasii","Xylopia","Plant_84","Family_5"
"Xylopia_rubescens","Xylopia","Plant_85","Family_5"
"Xylopia_staudtii","Xylopia","Plant_86","Family_5"
"Xylopia_villosa","Xylopia","Plant_87","Family_5"
"Alafia_erythrophthalma","Alafia","Plant_88","Family_6"
"Alstonia_boonei","Alstonia","Plant_89","Family_6"
"Alstonia_congensis","Alstonia","Plant_90","Family_6"
"Carissa_edulis","Carissa","Plant_91","Family_6"
"Funtumia_africana","Funtumia","Plant_92","Family_6"
"Funtumia_elastica","Funtumia","Plant_93","Family_6"
"Hunteria_umbellata","Hunteria","Plant_94","Family_6"
"Landolphia_hirsuta","Landolphia","Plant_95","Family_6"
"Landolphia_incerta","Landolphia","Plant_96","Family_6"
"Landolphia_jumellei","Landolphia","Plant_97","Family_6"
"Landolphia_landolphioides","Landolphia","Plant_98","Family_6"
"Landolphia_mannii","Landolphia","Plant_99","Family_6"
"Landolphia_owariensis","Landolphia","Plant_100","Family_6"
"Picralima_nitida","Picralima","Plant_101","Family_6"
"Pleiocarpa_pycnantha","Pleiocarpa","Plant_102","Family_6"
"Rauvolfia_caffra","Rauvolfia","Plant_103","Family_6"
"Rauvolfia_mannii","Rauvolfia","Plant_104","Family_6"
"Rauvolfia_vomitoria","Rauvolfia","Plant_105","Family_6"
"Saba_comorensis","Saba","Plant_106","Family_6"
"Saba_senegalensis","Saba","Plant_107","Family_6"
"Tabernaemontana_brachyantha","Tabernaemontana","Plant_108","Family_6"
"Tabernaemontana_contorta","Tabernaemontana","Plant_109","Family_6"
"Tabernaemontana_crassa","Tabernaemontana","Plant_110","Family_6"
"Tabernaemontana_inconspicua","Tabernaemontana","Plant_111","Family_6"
"Tabernaemontana_odoratissima","Tabernaemontana","Plant_112","Family_6"
"Tabernaemontana_pachysiphon","Tabernaemontana","Plant_113","Family_6"
"Tabernaemontana_penduliflora","Tabernaemontana","Plant_114","Family_6"
"Tabernaemontana_stapfiana","Tabernaemontana","Plant_115","Family_6"
"Voacanga_africana","Voacanga","Plant_116","Family_6"
"Voacanga_thouarsii","Voacanga","Plant_117","Family_6"
"Ilex_mitis","Ilex","Plant_118","Family_7"
"Polyscias_fulva","Polyscias","Plant_119","Family_8"
"Borassus_aethiopum","Borassus","Plant_120","Family_9"
"Elaeis_guineensis","Elaeis","Plant_121","Family_9"
"Hyphanae_guineensis","Hyphanae","Plant_122","Family_9"
"Phoenix_reclinata","Phoenix","Plant_123","Family_9"
"Raphia_africana","Raphia","Plant_124","Family_9"
"Raphia_hookeri","Raphia","Plant_125","Family_9"
"Raphia_monbuttorum","Raphia","Plant_126","Family_9"
"Raphia_vinifera","Raphia","Plant_127","Family_9"
"Dracaena_arborea","Dracaena","Plant_128","Family_10"
"Dracaena_fragrans","Dracaena","Plant_129","Family_10"
"Dracaena_mannii","Dracaena","Plant_130","Family_10"
"Carduus_schimperi","Carduus","Plant_131","Family_11"
"Sphaeranthus_kirkii","Sphaeranthus","Plant_132","Family_11"
"Kigelia_africana","Kigelia","Plant_133","Family_12"
"Markhamia_lutea","Markhamia","Plant_134","Family_12"
"Slereospermum_kunthianum","Slereospermum","Plant_135","Family_12"
"Cordia_africana","Cordia","Plant_136","Family_13"
"Cordia_millenii","Cordia","Plant_137","Family_13"
"Cordia_platythyrsa","Cordia","Plant_138","Family_13"
"Ehretia_cymosa","Ehretia","Plant_139","Family_13"
"Canarium_indicum","Canarium","Plant_140","Family_14"
"Canarium_schweinfurthii","Canarium","Plant_141","Family_14"
"Commiphora_africana","Commiphora","Plant_142","Family_14"
"Dacryodes_buettneri","Dacryodes","Plant_143","Family_14"
"Dacryodes_edulis","Dacryodes","Plant_144","Family_14"
"Dacryodes_igaganga","Dacryodes","Plant_145","Family_14"
"Dacryodes_klaineana","Dacryodes","Plant_146","Family_14"
"Dacryodes_macrophylla","Dacryodes","Plant_147","Family_14"
"Dacryodes_normandii","Dacryodes","Plant_148","Family_14"
"Dacryodes_osika","Dacryodes","Plant_149","Family_14"
"Pachylobus_buettneri","Pachylobus","Plant_150","Family_14"
"Pachylobus_klaineanus","Pachylobus","Plant_151","Family_14"
"Pachylobus_normandii","Pachylobus","Plant_152","Family_14"
"Santiria_trimera","Santiria","Plant_153","Family_14"
"Buxus_acutata","Buxus","Plant_154","Family_15"
"Mammea_africana","Mammea","Plant_155","Family_16"
"Warburgia_stuhlmanni","Warburgia","Plant_156","Family_17"
"Warburgia_ugandensis","Warburgia","Plant_157","Family_17"
"Celtis_adolfi-friderici","Celtis","Plant_158","Family_18"
"Celtis_africana","Celtis","Plant_159","Family_18"
"Celtis_durandii","Celtis","Plant_160","Family_18"
"Celtis_gomphophylla","Celtis","Plant_161","Family_18"
"Celtis_ituriensis","Celtis","Plant_162","Family_18"
"Celtis_mildbraedi","Celtis","Plant_163","Family_18"
"Celtis_mildbraedii","Celtis","Plant_164","Family_18"
"Celtis_tessmannii","Celtis","Plant_165","Family_18"
"Celtis_toka","Celtis","Plant_166","Family_18"
"Celtis_zenkeri","Celtis","Plant_167","Family_18"
"Trema_orientalis","Trema","Plant_168","Family_18"
"Buchholzia_coriacea","Buchholzia","Plant_169","Family_19"
"Capparis_tomentosa","Capparis","Plant_170","Family_19"
"Maerua_grantii","Maerua","Plant_171","Family_19"
"Ritchiea_albersii","Ritchiea","Plant_172","Family_19"
"Leptaulus_daphnoides","Leptaulus","Plant_173","Family_20"
"Carica_papaya","Carica","Plant_174","Family_21"
"Casuarina_equisetifolia","Casuarina","Plant_175","Family_22"
"Elaeodendron_buchananii","Elaeodendron","Plant_176","Family_23"
"Mystroxylon_aethiopicum","Mystroxylon","Plant_177","Family_23"
"Chrysobalanus_icaco","Chrysobalanus","Plant_178","Family_24"
"Dactyladenia_dinklagei","Dactyladenia","Plant_179","Family_24"
"Dactyladenia_scabrifolia","Dactyladenia","Plant_180","Family_24"
"Magnistipula_butayei","Magnistipula","Plant_181","Family_24"
"Magnistipula_zenkeri","Magnistipula","Plant_182","Family_24"
"Maranthes_aubrevillei","Maranthes","Plant_183","Family_24"
"Maranthes_glabra","Maranthes","Plant_184","Family_24"
"Neocarya_macrophylla","Neocarya","Plant_185","Family_24"
"Parinari_congolana","Parinari","Plant_186","Family_24"
"Parinari_curatellifolia","Parinari","Plant_187","Family_24"
"Parinari_excelsa","Parinari","Plant_188","Family_24"
"Allanblackia_floribunda","Allanblackia","Plant_189","Family_25"
"Garcinia_afzelii","Garcinia","Plant_190","Family_25"
"Garcinia_buchananii","Garcinia","Plant_191","Family_25"
"Garcinia_epunctata","Garcinia","Plant_192","Family_25"
"Garcinia_huillensis","Garcinia","Plant_193","Family_25"
"Garcinia_kola","Garcinia","Plant_194","Family_25"
"Garcinia_mannii","Garcinia","Plant_195","Family_25"
"Garcinia_ovalifolia","Garcinia","Plant_196","Family_25"
"Garcinia_punctata","Garcinia","Plant_197","Family_25"
"Garcinia_quadrifaria","Garcinia","Plant_198","Family_25"
"Garcinia_smeathmannii","Garcinia","Plant_199","Family_25"
