"Animal_Species_Corrected","Animal_Genus","Animal_Genus2","Animal_Family","Animal_Taxa_Type","Animal_Class","Animal_Taxa_Type_Courser","Animal_Species_Generic","Animal_Family_Generic"
"Gypohierax_angolensis","Gypohierax","Gypohierax","Accipitridae","Large_birds","Aves","Large_birds","Frugivore_1","Family_1"
"Bycanistes_albotibialis","Bycanistes","Bycanistes","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_2","Family_2"
"Bycanistes_fistulator","Bycanistes","Bycanistes","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_3","Family_2"
"Bycanistes_sharpii","Bycanistes","Bycanistes","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_4","Family_2"
"Bycanistes_subcylindricus","Bycanistes","Bycanistes","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_5","Family_2"
"Ceratogymna_atrata","Ceratogymna","Ceratogymna","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_6","Family_2"
"Ceratogymna_elata","Ceratogymna","Ceratogymna","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_7","Family_2"
"Horizocerus_albocristatus","Horizocerus","Horizocerus","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_8","Family_2"
"Horizocerus_cassini","Horizocerus","Horizocerus","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_9","Family_2"
"Lophoceros_alboterminatus","Lophoceros","Lophoceros","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_10","Family_2"
"Lophoceros_fasciatus","Lophoceros","Lophoceros","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_11","Family_2"
"Lophoceros_semifasciatus","Lophoceros","Lophoceros","Bucerotidae","Large_birds","Aves","Large_birds","Frugivore_12","Family_2"
"Aplopelia_larvata","Aplopelia","Aplopelia","Columbidae","Large_birds","Aves","Large_birds","Frugivore_13","Family_3"
"Columba_arquatrix","Columba","Columba","Columbidae","Large_birds","Aves","Large_birds","Frugivore_14","Family_3"
"Columba_iriditorques","Columba","Columba","Columbidae","Large_birds","Aves","Large_birds","Frugivore_15","Family_3"
"Columba_sjostedti","Columba","Columba","Columbidae","Large_birds","Aves","Large_birds","Frugivore_16","Family_3"
"Columba_unicincta","Columba","Columba","Columbidae","Large_birds","Aves","Large_birds","Frugivore_17","Family_3"
"Streptopelia_hypopyrrha","Streptopelia","Streptopelia","Columbidae","Large_birds","Aves","Large_birds","Frugivore_18","Family_3"
"Streptopelia_semitorquata","Streptopelia","Streptopelia","Columbidae","Large_birds","Aves","Large_birds","Frugivore_19","Family_3"
"Treron_calvus","Treron","Treron","Columbidae","Large_birds","Aves","Large_birds","Frugivore_20","Family_3"
"Corythaeola_cristata","Corythaeola","Corythaeola","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_21","Family_4"
"Gallirex_johnstoni","Gallirex","Gallirex","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_22","Family_4"
"Musophaga_rossae","Musophaga","Musophaga","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_23","Family_4"
"Musophaga_violacea","Musophaga","Musophaga","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_24","Family_4"
"Tauraco_leucolophus","Tauraco","Tauraco","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_25","Family_4"
"Tauraco_macrorhynchus","Tauraco","Tauraco","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_26","Family_4"
"Tauraco_persa","Tauraco","Tauraco","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_27","Family_4"
"Tauraco_schalowi","Tauraco","Tauraco","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_28","Family_4"
"Tauraco_schuettii","Tauraco","Tauraco","Musophagidae","Large_birds","Aves","Large_birds","Frugivore_29","Family_4"
"Agelastes_niger","Agelastes","Agelastes","Numididae","Large_birds","Aves","Large_birds","Frugivore_30","Family_5"
"Afropavo_congensis","Afropavo","Afropavo","Phasianidae","Large_birds","Aves","Large_birds","Frugivore_31","Family_6"
"Poicephalus_gulielmi","Poicephalus","Poicephalus","Psittacidae","Large_birds","Aves","Large_birds","Frugivore_32","Family_7"
"Poicephalus_robustus","Poicephalus","Poicephalus","Psittacidae","Large_birds","Aves","Large_birds","Frugivore_33","Family_7"
"Psittacus_erithacus","Psittacus","Psittacus","Psittacidae","Large_birds","Aves","Large_birds","Frugivore_34","Family_7"
"Lamprotornis_splendidus","Lamprotornis","Lamprotornis","Sturnidae","Large_birds","Aves","Large_birds","Frugivore_35","Family_8"
"Onychognathus_fulgidus","Onychognathus","Onychognathus","Sturnidae","Large_birds","Aves","Large_birds","Frugivore_36","Family_8"
"Onychognathus_tenuirostris","Onychognathus","Onychognathus","Sturnidae","Large_birds","Aves","Large_birds","Frugivore_37","Family_8"
"Hippolais_pallida","Hippolais","Iduna","Acrocephalidae","Small_birds","Aves","Small_birds","Frugivore_38","Family_9"
"Campephaga_flava","Campephaga","Campephaga","Campephagidae","Small_birds","Aves","Small_birds","Frugivore_39","Family_10"
"Apalis_rufogularis","Apalis","Apalis","Cisticolidae","Small_birds","Aves","Small_birds","Frugivore_40","Family_11"
"Bathmocercus_rufus","Bathmocercus","Bathmocercus","Cisticolidae","Small_birds","Aves","Small_birds","Frugivore_41","Family_11"
"Eremomela_turneri","Eremomela","Eremomela","Cisticolidae","Small_birds","Aves","Small_birds","Frugivore_42","Family_11"
"Hypergerus_atriceps","Hypergerus","Hypergerus","Cisticolidae","Small_birds","Aves","Small_birds","Frugivore_43","Family_11"
"Prinia_bairdii","Prinia","Prinia","Cisticolidae","Small_birds","Aves","Small_birds","Frugivore_44","Family_11"
"Colius_striatus","Colius","Colius","Coliidae","Small_birds","Aves","Small_birds","Frugivore_45","Family_12"
"Turtur_afer","Turtur","Turtur","Columbidae","Small_birds","Aves","Small_birds","Frugivore_46","Family_3"
"Turtur_tympanistria","Turtur","Turtur","Columbidae","Small_birds","Aves","Small_birds","Frugivore_47","Family_3"
"Cuculus_clamosus","Cuculus","Cuculus","Cuculidae","Small_birds","Aves","Small_birds","Frugivore_48","Family_13"
"Estrilda_nonnula","Estrilda","Estrilda","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_49","Family_14"
"Nigrita_bicolor","Nigrita","Nigrita","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_50","Family_14"
"Nigrita_canicapillus","Nigrita","Nigrita","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_51","Family_14"
"Nigrita_fusconotus","Nigrita","Nigrita","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_52","Family_14"
"Nigrita_luteifrons","Nigrita","Nigrita","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_53","Family_14"
"Parmoptila_woodhousei","Parmoptila","Parmoptila","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_54","Family_14"
"Spermophaga_haematina","Spermophaga","Spermophaga","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_55","Family_14"
"Spermophaga_ruficapilla","Spermophaga","Spermophaga","Estrildidae","Small_birds","Aves","Small_birds","Frugivore_56","Family_14"
"Crithagra_dorsostriata","Crithagra","Crithagra","Fringillidae","Small_birds","Aves","Small_birds","Frugivore_57","Family_15"
"Crithagra_mozambica","Crithagra","Crithagra","Fringillidae","Small_birds","Aves","Small_birds","Frugivore_58","Family_15"
"Serinus_citrinelloides","Serinus","Serinus","Fringillidae","Small_birds","Aves","Small_birds","Frugivore_59","Family_15"
