"","Animal_Species_Corrected","Animal_Family","Animal_Taxa_Type","Plant_Species_Corrected","Plant_Family","Study_ID","Study_Site","Country","Zone","Focus"
"1","Cercopithecus_mitis","Cercopithecidae","Monkeys","Antiaris_toxicaria","Moraceae","68","Kakamega","Kenya","AE","Animal"
"2","Cercopithecus_mitis","Cercopithecidae","Monkeys","Antiaris_toxicaria","Moraceae","68","Kakamega","Kenya","AE","Animal"
"3","Cercopithecus_mitis","Cercopithecidae","Monkeys","Bischofia_javanica","Phyllanthaceae","68","Kakamega","Kenya","AE","Animal"
"4","Cercopithecus_mitis","Cercopithecidae","Monkeys","Bischofia_javanica","Phyllanthaceae","68","Kakamega","Kenya","AE","Animal"
"5","Cercopithecus_mitis","Cercopithecidae","Monkeys","Casearia_battiscombei","Salicaceae","68","Kakamega","Kenya","AE","Animal"
"6","Cercopithecus_mitis","Cercopithecidae","Monkeys","Casearia_battiscombei","Salicaceae","68","Kakamega","Kenya","AE","Animal"
"7","Cercopithecus_mitis","Cercopithecidae","Monkeys","Dracaena_fragrans","Asparagaceae","68","Kakamega","Kenya","AE","Animal"
"8","Cercopithecus_mitis","Cercopithecidae","Monkeys","Dracaena_fragrans","Asparagaceae","68","Kakamega","Kenya","AE","Animal"
"9","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_ampelos","Moraceae","68","Kakamega","Kenya","AE","Animal"
"10","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_ampelos","Moraceae","68","Kakamega","Kenya","AE","Animal"
"11","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_lutea","Moraceae","68","Kakamega","Kenya","AE","Animal"
"12","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_sansibarica","Moraceae","68","Kakamega","Kenya","AE","Animal"
"13","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_sur","Moraceae","68","Kakamega","Kenya","AE","Animal"
"14","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_sur","Moraceae","68","Kakamega","Kenya","AE","Animal"
"15","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_sur","Moraceae","68","Kakamega","Kenya","AE","Animal"
"16","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_thonningii","Moraceae","68","Kakamega","Kenya","AE","Animal"
"17","Cercopithecus_mitis","Cercopithecidae","Monkeys","Ficus_thonningii","Moraceae","68","Kakamega","Kenya","AE","Animal"
"18","Cercopithecus_mitis","Cercopithecidae","Monkeys","Funtumia_africana","Apocynaceae","68","Kakamega","Kenya","AE","Animal"
"19","Cercopithecus_mitis","Cercopithecidae","Monkeys","Funtumia_africana","Apocynaceae","68","Kakamega","Kenya","AE","Animal"
"20","Cercopithecus_mitis","Cercopithecidae","Monkeys","Harungana_madagascariensis","Asteraceae","68","Kakamega","Kenya","AE","Animal"
"21","Cercopithecus_mitis","Cercopithecidae","Monkeys","Harungana_madagascariensis","Asteraceae","68","Kakamega","Kenya","AE","Animal"
"22","Cercopithecus_mitis","Cercopithecidae","Monkeys","Maesopsis_eminii","Rhamnaceae","68","Kakamega","Kenya","AE","Animal"
"23","Cercopithecus_mitis","Cercopithecidae","Monkeys","Maesopsis_eminii","Rhamnaceae","68","Kakamega","Kenya","AE","Animal"
"24","Cercopithecus_mitis","Cercopithecidae","Monkeys","Manilkara_butugi","Sapotaceae","68","Kakamega","Kenya","AE","Animal"
"25","Cercopithecus_mitis","Cercopithecidae","Monkeys","Mimulopsis_solmsii","Acanthaceae","68","Kakamega","Kenya","AE","Animal"
"26","Cercopithecus_mitis","Cercopithecidae","Monkeys","Morus_mesozygia","Moraceae","68","Kakamega","Kenya","AE","Animal"
"27","Cercopithecus_mitis","Cercopithecidae","Monkeys","Morus_mesozygia","Moraceae","68","Kakamega","Kenya","AE","Animal"
"28","Cercopithecus_mitis","Cercopithecidae","Monkeys","Musa_paradisiaca","Musaceae","68","Kakamega","Kenya","AE","Animal"
"29","Cercopithecus_mitis","Cercopithecidae","Monkeys","Psidium_guajava","Myrtaceae","68","Kakamega","Kenya","AE","Animal"
"30","Cercopithecus_mitis","Cercopithecidae","Monkeys","Psidium_guajava","Myrtaceae","68","Kakamega","Kenya","AE","Animal"
"31","Cercopithecus_mitis","Cercopithecidae","Monkeys","Solanum_mauritianum","Solanaceae","68","Kakamega","Kenya","AE","Animal"
"32","Cercopithecus_mitis","Cercopithecidae","Monkeys","Solanum_mauritianum","Solanaceae","68","Kakamega","Kenya","AE","Animal"
"33","Cercopithecus_mitis","Cercopithecidae","Monkeys","Solanum_mauritianum","Solanaceae","68","Kakamega","Kenya","AE","Animal"
"34","Cercopithecus_mitis","Cercopithecidae","Monkeys","Trilepisium_madagascariense","Moraceae","68","Kakamega","Kenya","AE","Animal"
"35","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Allophylus_kiwuensis","Sapindaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"36","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Canthium_oligocarpum","Rubiaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"37","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Carduus_schimperi","Compositae","66","Odobullu Forest","Ethiopia","AE","Animal"
"38","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Casuarina_equisetifolia","Casuarinaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"39","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Cynodon_dactylon","Poaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"40","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Cyphostemma_adenocaule","Vitaceae","51","Bale Mountains","Ethiopia","AE","Animal"
"41","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Deschampsia_cespitosa","Poaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"42","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Embelia_schimperi","Primulaceae","51","Bale Mountains","Ethiopia","AE","Animal"
"43","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Embelia_schimperi","Primulaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"44","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Galiniera_saxifraga","Rubiaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"45","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Galiniera_saxifraga","Rubiaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"46","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Galiniera_saxifraga","Rubiaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"47","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Galiniera_saxifraga","Rubiaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"48","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Hordeum_vulgare","Poaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"49","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Ilex_mitis","Aquifoliaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"50","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Jasminum_abyssinicum","Oleaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"51","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Juniperus_procera","Cupressaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"52","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Juniperus_procera","Cupressaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"53","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Lagenaria_abyssinica","Cucurbitaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"54","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Maesa_lanceolata","Primulaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"55","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Poa_infirma","Poaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"56","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Poa_infirma","Poaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"57","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Psychotria_orophila","Rubiaceae","51","Bale Mountains","Ethiopia","AE","Animal"
"58","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Rubus_apetalus","Rosaceae","51","Bale Mountains","Ethiopia","AE","Animal"
"59","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Rubus_apetalus","Rosaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"60","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Rubus_apetalus","Rosaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"61","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Rubus_apetalus","Rosaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"62","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Solanum_etuberosum","Solanaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"63","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Urera_hypselodendron","Urticaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"64","Chlorocebus_djamdjamensis","Cercopithecidae","Monkeys","Urera_hypselodendron","Urticaceae","66","Odobullu Forest","Ethiopia","AE","Animal"
"65","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Anthonotha_fragrans","Fabaceae","71","Korup","Cameroon","AC","Animal"
"66","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Desbordesia_glaucescens","Irvingiaceae","71","Korup","Cameroon","AC","Animal"
"67","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Diogoa_zenkeri","Olacaceae","71","Korup","Cameroon","AC","Animal"
"68","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Lecomtedoxa_Klaineana","Sapotaceae","71","Korup","Cameroon","AC","Animal"
"69","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Oubanguia_alata","Lecythidaceae","71","Korup","Cameroon","AC","Animal"
"70","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Staudtia_kamerunensis","Myristicaceae","71","Korup","Cameroon","AC","Animal"
"71","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Strombosia_pustulata","Olacaceae","71","Korup","Cameroon","AC","Animal"
"72","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Strychnos_gnetifolia","Loganiaceae","71","Korup","Cameroon","AC","Animal"
"73","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Uapaca_staudtii","Phyllanthaceae","71","Korup","Cameroon","AC","Animal"
"74","Cercopithecus_erythrogaster","Cercopithecidae","Monkeys","Uvariopsis_bakeriana","Annonaceae","71","Korup","Cameroon","AC","Animal"
"75","Erythrocebus_patas","Cercopithecidae","Monkeys","Celtis_toka","Cannabaceae","19","Kala Maloue National Park","Cameroon","AC","BothLimited"
"76","Gorilla_beringei","Hominidae","Apes","Allophylus_kiwuensis","Sapindaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"77","Gorilla_beringei","Hominidae","Apes","Gambeya_albida","Sapotaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"78","Gorilla_beringei","Hominidae","Apes","Drypetes_gerrardii","Putranjivaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"79","Gorilla_beringei","Hominidae","Apes","Maesa_lanceolata","Primulaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"80","Gorilla_beringei","Hominidae","Apes","Myrianthus_holstii","Urticaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"81","Gorilla_beringei","Hominidae","Apes","Mystroxylon_aethiopicum","Celastraceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"82","Gorilla_beringei","Hominidae","Apes","Olea_welwitschii","Olacaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
"83","Gorilla_beringei","Hominidae","Apes","Olinia_usambarensis","Penaeaceae","41","Bwindi Impenetrable National Park","Uganda","AE","Animal"
