"","x"
"1","Atimastillas_flavigula"
"2","Baeopogon_clamans"
"3","Baeopogon_indicator"
"4","Bathmocercus_rufus"
"5","Bleda_syndactylus"
"6","Buccanodon_duchaillui"
"7","Bycanistes_albotibialis"
"8","Bycanistes_sharpii"
"9","Bycanistes_subcylindricus"
"10","Calyptocichla_serinus"
"11","Cephalophus_callipygus"
"12","Cephalophus_dorsalis"
"13","Cephalophus_leucogaster"
"14","Cephalophus_nigrifrons"
"15","Cephalophus_ogilbyi"
"16","Cephalophus_silvicultor"
"17","Ceratogymna_atrata"
"18","Cercocebus_agilis"
"19","Cercocebus_torquatus"
"20","Cercopithecus_cephus"
"21","Cercopithecus_neglectus"
"22","Cercopithecus_nictitans"
"23","Cercopithecus_pogonias"
"24","Chamaetylas_poliocephala"
"25","Chlorocichla_falkensteini"
"26","Chlorocichla_simplex"
"27","Cinnyris_johannae"
"28","Civettictis_civetta"
"29","Colius_striatus"
"30","Colobus_guereza"
"31","Colobus_satanas"
"32","Columba_iriditorques"
"33","Columba_unicincta"
"34","Corythaeola_cristata"
"35","Cossypha_heuglini"
"36","Criniger_calurus"
"37","Criniger_ndussumensis"
"38","Crithagra_mozambica"
"39","Cuculus_clamosus"
"40","Cyanomitra_olivacea"
"41","Cyanomitra_verticalis"
"42","Eidolon_helvum"
"43","Elminia_longicauda"
"44","Epomophorus_wahlbergi"
"45","Epomops_franqueti"
"46","Estrilda_nonnula"
"47","Eurillas_ansorgei"
"48","Eurillas_curvirostris"
"49","Eurillas_gracilis"
"50","Eurillas_latirostris"
"51","Eurillas_virens"
"52","Galagoides_demidoff"
"53","Genetta_maculata"
"54","Gorilla_gorilla"
"55","Grafisia_torquata"
"56","Gymnobucco_bonapartei"
"57","Gymnobucco_calvus"
"58","Gymnobucco_peli"
"59","Gypohierax_angolensis"
"60","Hedydipna_collaris"
"61","Horizocerus_cassini"
"62","Hyemoschus_aquaticus"
"63","Hylia_prasina"
"64","Hyliota_violacea"
"65","Hylopsar_purpureiceps"
"66","Hypsignathus_monstrosus"
"67","Ixonotus_guttatus"
"68","Lamprotornis_splendidus"
"69","Lophocebus_albigena"
"70","Lophoceros_fasciatus"
"71","Loxodonta_cyclotis"
"72","Malimbus_cassini"
"73","Malimbus_erythrogaster"
"74","Malimbus_rubricollis"
"75","Mandrillus_sphinx"
"76","Miopithecus_ogouensis"
"77","Musophaga_rossae"
"78","Myonycteris_angolensis"
"79","Myonycteris_torquata"
"80","Nandinia_binotata"
"81","Nigrita_bicolor"
"82","Nigrita_canicapillus"
"83","Nigrita_fusconotus"
"84","Nigrita_luteifrons"
"85","Onychognathus_fulgidus"
"86","Oriolus_brachyrynchus"
"87","Oriolus_nigripennis"
"88","Pan_troglodytes"
"89","Parmoptila_woodhousei"
"90","Philantomba_monticola"
"91","Phyllastrephus_albigularis"
"92","Phylloscopus_budongoensis"
"93","Phylloscopus_trochilus"
"94","Ploceus_bicolor"
"95","Ploceus_cucullatus"
"96","Ploceus_nigerrimus"
"97","Ploceus_nigricollis"
"98","Ploceus_tricolor"
"99","Poeoptera_lugubris"
"100","Pogoniulus_atroflavus"
"101","Pogoniulus_bilineatus"
"102","Pogoniulus_scolopaceus"
"103","Pogoniulus_subsulphureus"
"104","Poicephalus_gulielmi"
"105","Prinia_bairdii"
"106","Prionops_rufiventris"
"107","Prodotiscus_insignis"
"108","Psittacus_erithacus"
"109","Pycnonotus_barbatus"
"110","Rousettus_aegyptiacus"
"111","Spermophaga_haematina"
"112","Stelgidillas_gracilirostris"
"113","Stizorhina_fraseri"
"114","Streptopelia_semitorquata"
"115","Sylvia_borin"
"116","Sylvietta_denti"
"117","Tauraco_macrorhynchus"
"118","Tauraco_persa"
"119","Terpsiphone_viridis"
"120","Thescelocichla_leucopleura"
"121","Trachylaemus_purpuratus"
"122","Tragelaphus_eurycerus"
