"","x"
"1","Milicia excelsa"
"2","Dialium pachyphyllum"
"3","Lannea welwitschii"
"4","Dacryodes igaganga"
"5","Ceiba pentandra"
"6","Hexalobus crispiflorus"
"7","Autranella congolensis"
"8","Staudtia kamerunensis"
"9","Chrysophyllum africanum"
"10","Ricinodendron heudelotii"
"11","Ficus mucuso"
"12","Pycnanthus angolensis"
"13","Strombosia zenkeri"
"14","Plagiostyles africana"
"15","Strombosia pustulata"
"16","Grewia coriacea"
"17","Treculia obovoidea"
"18","Heisteria parvifolia"
"19","Santiria trimera"
"20","Coelocaryon preussii"
"21","Diogoa zenkeri"
"22","Petersianthus macrocarpus"
"23","Macaranga monandra"
"24","Dialium dinklagei"
"25","Diospyros zenkeri"
"26","Anonidium mannii"
"27","Maprounea membranacea"
"28","Greenwayodendron suaveolens"
"29","Scorodophloeus zenkeri"
"30","Dichostemma glaucescens"
"31","Carapa procera"
"32","Xylopia aethiopica"
"33","Antidesma vogelianum"
"34","Cola lizae"
"35","Annickia chlorantha"
"36","Trichoscypha acuminata"
"37","Coula edulis"
"38","Cola acuminata"
"39","Xylopia staudtii"
"40","Strombosiopsis tetrandra"
"41","Maesopsis eminii"
"42","Pentaclethra eetveldeana"
"43","Irvingia gabonensis"
"44","Berlinia bracteosa"
"45","Scyphocephalium mannii"
"46","Chrysophyllum lacourtianum"
"47","Erythrophleum ivorense"
"48","Musanga cecropioides"
"49","Symphonia globulifera"
"50","Massularia acuminata"
"51","Dacryodes buettneri"
"52","Irvingia grandifolia"
"53","Aoranthe cladantha"
"54","Duboscia macrocarpa"
"55","Chrysophyllum perpulchrum"
"56","Xylopia rubescens"
"57","Pentadesma butyracea"
"58","Anthonotha fragrans"
"59","Maranthes glabra"
"60","Scytopetalum klaineanum"
"61","Quassia gabonensis"
"62","Lovoa trichilioides"
"63","Parkia bicolor"
"64","Nauclea diderrichii"
"65","Irvingia robur"
"66","Discoglypremna caloneura"
"67","Zanthoxylum heitzii"
"68","Maesobotrya klaineana"
"69","Klainedoxa gabonensis"
"70","Drypetes gossweileri"
"71","Dacryodes macrophylla"
"72","Anopyxis klaineana"
"73","Guibourtia ehie"
"74","Guibourtia demeusei"
"75","Uvariastrum pierreanum"
"76","Sacoglottis gabonensis"
"77","Nauclea vanderguchtii"
"78","Diospyros cinnabarina"
"79","Anthostema aubryanum"
"80","Omphalocarpum elatum"
"81","Garcinia mannii"
"82","Tetrapleura tetraptera"
"83","Leplaea thompsonii"
"84","Xylopia quintasii"
"85","Calpocalyx dinklagei"
"86","Canarium schweinfurthii"
"87","Celtis tessmannii"
"88","Dacryodes edulis"
"89","Alstonia boonei"
"90","Diospyros dendo"
"91","Strombosia scheffleri"
"92","Detarium macrocarpum"
"93","Myrianthus arboreus"
"94","Cola rostrata"
"95","Diospyros crassiflora"
"96","Tetrorchidium didymostemon"
"97","Dacryodes klaineana"
"98","Barteria fistulosa"
"99","Funtumia elastica"
"100","Baillonella toxisperma"
"101","Pterygota bequaertii"
"102","Treculia africana"
"103","Diospyros viridicans"
"104","Bobgunnia fistuloides"
"105","Pachyelasma tessmannii"
"106","Pentadesma grandifolia"
"107","Piptadeniastrum africanum"
"108","Panda oleosa"
"109","Funtumia africana"
"110","Margaritaria discoidea"
"111","Picralima nitida"
"112","Morinda lucida"
"113","Eriocoelum macrocarpum"
"114","Oncoba glauca"
"115","Oubanguia africana"
"116","Cleistopholis patens"
"117","Antrocaryon klaineanum"
"118","Antidesma laciniatum"
"119","Anthocleista vogelii"
"120","Macaranga spinosa"
"121","Uapaca heudelotii"
"122","Xylopia hypolampra"
"123","Diospyros hoyleana"
"124","Garcinia smeathmannii"
"125","Anthonotha macrophylla"
"126","Tabernaemontana crassa"
"127","Uapaca guineensis"
"128","Oncoba welwitschii"
"129","Nesogordonia papaverifera"
"130","Blighia welwitschii"
"131","Psychotria vogeliana"
"132","Croton oligandrus"
"133","Trichoscypha arborea"
"134","Rauvolfia vomitoria"
"135","Leplaea cedrata"
"136","Trichilia prieuriana"
"137","Duguetia staudtii"
"138","Bombax buonopozense"
"139","Microcos coriacea"
"140","Dialium tessmannii"
"141","Dracaena fragrans"
"142","Allanblackia floribunda"
"143","Poga oleosa"
"144","Vitex doniana"
"145","Pouteria altissima"
"146","Oncoba dentata"
"147","Cleistopholis glauca"
"148","Pseudospondias microcarpa"
"149","Dialium lopense"
"150","Hylodendron gabunense"
"151","Aidia micrantha"
"152","Guibourtia tessmannii"
"153","Dialium guineense"
"154","Uapaca staudtii"
"155","Diospyros mannii"
"156","Dacryodes normandii"
"157","Scottellia klaineana"
"158","Mareyopsis longifolia"
"159","Sterculia tragacantha"
"160","Allophylus africanus"
"161","Diospyros polystemon"
"162","Ongokea gore"
"163","Garcinia kola"
"164","Ganophyllum giganteum"
"165","Diospyros melocarpa"
"166","Diospyros abyssinica"
"167","Ficus exasperata"
"168","Rauvolfia caffra"
"169","Bridelia micrantha"
"170","Garcinia afzelii"
"171","Tieghemella africana"
"172","Klainedoxa trillesii"
"173","Casearia barteri"
"174","Leptaulus daphnoides"
"175","Tessmannia africana"
"176","Oncoba mannii"
"177","Napoleonaea vogelii"
"178","Afzelia pachyloba"
"179","Afzelia bipindensis"
"180","Brenania brieyi"
"181","Antiaris toxicaria"
"182","Meiocarpidium lepidotum"
"183","Shirakiopsis elliptica"
"184","Harungana madagascariensis"
"185","Persea americana"
"186","Macaranga barteri"
"187","Trichilia gilgiana"
"188","Diospyros suaveolens"
"189","Trichilia tessmannii"
"190","Erythroxylum mannii"
"191","Manilkara fouilloyana"
"192","Cassia mannii"
"193","Garcinia epunctata"
"194","Vepris soyauxii"
"195","Sarcocephalus pobeguinii"
"196","Beilschmiedia fulva"
"197","Alchornea hirtella"
"198","Trichoscypha oddonii"
"199","Croton mayumbensis"
"200","Isolona hexaloba"
"201","Dracaena arborea"
"202","Parinari excelsa"
"203","Chrysobalanus icaco"
"204","Microdesmis puberula"
"205","Phyllocosmus africanus"
"206","Elaeis guineensis"
"207","Eriocoelum oblongum"
"208","Duguetia confinis"
"209","Chrysophyllum beguei"
"210","Erythrophleum suaveolens"
"211","Ficus elasticoides"
"212","Anthocleista schweinfurthii"
"213","Cola lateritia"
"214","Strombosia grandifolia"
"215","Mangifera indica"
"216","Angylocalyx pynaertii"
"217","Garcinia punctata"
"218","Nauclea pobeguinii"
"219","Balanites wilsoniana"
"220","Synsepalum afzelii"
"221","Buchholzia coriacea"
"222","Irvingia excelsa"
"223","Xylopia letestui"
"224","Diospyros iturensis"
"225","Maranthes aubrevillei"
"226","Chrysophyllum subnudum"
"227","Parkia filicoidea"
"228","Syzygium owariense"
"229","Albizia ferruginea"
"230","Pseudospondias longifolia"
"231","Celtis mildbraedii"
"232","Dialium soyauxii"
"233","Omphalocarpum procerum"
"234","Afzelia bella"
"235","Xylopia gilbertii"
"236","Monodora myristica"
"237","Chrysophyllum pruniforme"
"238","Pancovia laurentii"
"239","Keayodendron bridelioides"
"240","Brachystegia mildbraedii"
"241","Vitex grandifolia"
"242","Spondianthus preussii"
