"","Species","Genus","Family","Body_Mass","Generation_Length","IUCN_Status","Habitat","Taxa"
"1","Afropavo_congensis","Afropavo","Phasianidae",1300,7.6,"NT","Forest","Large_birds"
"2","Agapornis_swindernianus","Agapornis","Psittacidae",40,5.1,"LC","Forest","Small_birds"
"3","Agelastes_niger","Agelastes","Numididae",700,5.52,"LC","Forest","Large_birds"
"4","Amblyospiza_albifrons","Amblyospiza","Ploceidae",45,3.6,"LC","Mixed","Small_birds"
"5","Anthoscopus_caroli","Anthoscopus","Remizidae",7,3.6,"LC","Mixed","Small_birds"
"6","Anthreptes_aurantius","Anthreptes","Nectariniidae",12,5.7,"LC","Mixed","Small_birds"
"7","Anthreptes_gabonicus","Anthreptes","Nectariniidae",10,5.7,"LC","Mixed","Small_birds"
"8","Anthreptes_seimundi","Anthreptes","Nectariniidae",7,3.6,"LC","Mixed","Small_birds"
"9","Apalis_rufogularis","Apalis","Cisticolidae",9,4.7,"LC","Forest","Small_birds"
"10","Apaloderma_narina","Apaloderma","Trogonidae",30,7.3,"LC","Mixed","Small_birds"
"11","Aplopelia_larvata","Aplopelia","Columbidae",150,5.8,"LC","Forest","Large_birds"
"12","Arizelocichla_masukuensis","Arizelocichla","Pycnonotidae",24,3.7,"LC","Forest","Small_birds"
"13","Arizelocichla_montana","Arizelocichla","Pycnonotidae",32,3.8,"LC","Mixed","Small_birds"
"14","Arizelocichla_nigriceps","Arizelocichla","Pycnonotidae",32,3.7,"LC","Mixed","Small_birds"
"15","Arizelocichla_tephrolaema","Arizelocichla","Pycnonotidae",40,3.5,"LC","Mixed","Small_birds"
"16","Atherurus_africanus","Atherurus","Hystricidae",2500,15,"LC","Forest","Rodents"
"17","Atimastillas_flavicollis","Atimastillas","Pycnonotidae",50,3.4,"LC","Mixed","Small_birds"
"18","Atimastillas_flavigula","Atimastillas","Pycnonotidae",50,3.4,"LC","Mixed","Small_birds"
"19","Baeopogon_clamans","Baeopogon","Pycnonotidae",45,3.5,"LC","Mixed","Small_birds"
