,Plant_Species_Corrected,Genus,Spp,Plant_Family,FruitLength,FruitWidth,Citation.ID.width,Citation.ID.length,WoodDensity,WoodDensity_TaxonomicLevel
1,Antiaris_toxicaria,Antiaris,toxicaria,Moraceae,15,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.383052632,species
2,Bischofia_javanica,Bischofia,javanica,Phyllanthaceae,9,9.5,bugwoodcloud.org,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.6017,species
3,Casearia_battiscombei,Casearia,battiscombei,Salicaceae,20,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.508,species
4,Dracaena_fragrans,Dracaena,fragrans,Asparagaceae,19,11,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.41825,genus
5,Ficus_ampelos,Ficus,ampelos,Moraceae,NA,NA,NA,NA,0.38,species
6,Ficus_lutea,Ficus,lutea,Moraceae,25,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
7,Ficus_sansibarica,Ficus,sansibarica,Moraceae,25,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.525,species
8,Ficus_sur,Ficus,sur,Moraceae,40,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
9,Ficus_thonningii,Ficus,thonningii,Moraceae,9,5,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.43175,species
10,Funtumia_africana,Funtumia,africana,Apocynaceae,180,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.424,species
12,Maesopsis_eminii,Maesopsis,eminii,Rhamnaceae,30,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.3835,species
13,Manilkara_butugi,Manilkara,butugi,Sapotaceae,25,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.885127237,genus
14,Mimulopsis_solmsii,Mimulopsis,solmsii,Acanthaceae,14.5,NA,NA,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,0.567558333,family
15,Morus_mesozygia,Morus,mesozygia,Moraceae,30,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.723555556,species
16,Musa_paradisiaca,Musa,paradisiaca,Musaceae,190.5,60.21,"Kachru, R. P., Kotwaliwale, N. & Balasubramanian, D. Physical and mechanical properties of green banana (Musa paradisiaca) fruit. Journal of Food Engineering 26, 369–378 (1995).","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.60289425,dataset
17,Psidium_guajava,Psidium,guajava,Myrtaceae,50,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.652,species
18,Solanum_mauritianum,Solanum,mauritianum,Solanaceae,11.4,10,"Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.411857143,genus
19,Trilepisium_madagascariense,Trilepisium,madagascariense,Moraceae,25,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.499,species
20,Allophylus_kiwuensis,Allophylus,kiwuensis,Sapindaceae,0.875,NA,NA,National Parks Flora & Fauna Web. https://www.nparks.gov.sg/florafaunaweb,0.51775,genus
21,Canthium_oligocarpum,Canthium,oligocarpum,Rubiaceae,25,20,"Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php","Hyde, M.A., Wursten, B.T., Ballings, P. & Coates Palgrave, M. (2023). Flora of Mozambique. https://www.mozambiqueflora.com/index.php",0.636677778,genus
22,Carduus_schimperi,Carduus,schimperi,Compositae,1,1,Visual estimation,Visual estimation,0.607109375,family
23,Casuarina_equisetifolia,Casuarina,equisetifolia,Casuarinaceae,2,10,"Oregon State University https://landscapeplants.oregonstate.edu/node/2144#:~:text=The%20fruit%20is%20an%20oval,somewhat%20resembles%20a%20conifer%20cone.",Invasive Species Specialist Group ISSG. (2015). The Global Invasive Species Database. Version 2015.1,0.80875,species
24,Cynodon_dactylon,Cynodon,dactylon,Poaceae,0.95,0.3,"A. Gibson & B. Prigge. (n.d.). Vascular Plants of Williamson County. Retrieved August 16, 2023, from http://w3.biosci.utexas.edu/prc/K12/pdf/Cynodon%20dactylon","A. Gibson & B. Prigge. (n.d.). Vascular Plants of Williamson County. Retrieved August 16, 2023, from http://w3.biosci.utexas.edu/prc/K12/pdf/Cynodon%20dactylon",0.60289425,dataset
25,Cyphostemma_adenocaule,Cyphostemma,adenocaule,Vitaceae,6,5,Encyclopedia of Succulents http://www.llifle.com/Encyclopedia/SUCCULENTS/Family/Vitaceae/28264/Cyphostemma_adenocaule,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.554,family
26,Deschampsia_cespitosa,Deschampsia,cespitosa,Poaceae,2,0.7,"FAO https://www.fao.org/3/y5576e/y5576e0e.htm#:~:text=Fruit%201.5%2D2.5%20mm%20long,mm%20thick%3B%20ovate%2Dlanceolate.","FAO https://www.fao.org/3/y5576e/y5576e0e.htm#:~:text=Fruit%201.5%2D2.5%20mm%20long,mm%20thick%3B%20ovate%2Dlanceolate.",0.60289425,dataset
27,Embelia_schimperi,Embelia,schimperi,Primulaceae,5,6.5,"Pawlos, Z., Chandravanshi, B., Yohannes, W. & Taye, A. Levels of selected metals in wild edible plant Embelia schimperi Vatke fruit under different agro-ecological zones, Ethiopia. Chemistry International 8, 1–11 (2022).","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.639267989,family
28,Galiniera_saxifraga,Galiniera,saxifraga,Rubiaceae,8,8,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.637445335,family
