"","x"
"1","Blepharis_stuhlmannii"
"2","Hygrophila_auriculata"
"3","Mimulopsis_solmsii"
"4","Mimulopsis_arborescens"
"5","Caloncoba_glauca"
"6","Caloncoba_welwitschii"
"7","Caloncoba_crepiniana"
"8","Scottellia_klaineana"
"9","Antrocaryon_klaineanum"
"10","Antrocaryon_micraster"
"11","Lannea_welwitschii"
"12","Lannea_fulva"
"13","Lannea_acida"
"14","Lannea_barteri"
"15","Lannea_schweinfurthii"
"16","Mangifera_indica"
"17","Pseudospondias_longifolia"
"18","Pseudospondias_microcarpa"
"19","Sclerocarya_birrea"
"20","Sorindeia_grandifolia"
"21","Trichoscypha_acuminata"
"22","Trichoscypha_oddonii"
"23","Trichoscypha_arborea"
"24","Poga_oleosa"
"25","Annickia_chlorantha"
"26","Annona_squamosa"
"27","Annona_senegalensis"
"28","Anonidium_mannii"
"29","Cleistopholis_patens"
"30","Duguetia_staudtii"
"31","Greenwayodendron_suaveolens"
"32","Hexalobus_crispiflorus"
"33","Isolona_hexaloba"
"34","Isolona_deightonii"
"35","Monanthotaxis_congoensis"
"36","Monanthotaxis_ferruginea"
"37","Monanthotaxis_orophila"
"38","Monodora_angolensis"
"39","Monodora_myristica"
"40","Uvaria_angolensis"
"41","Uvaria_welwitschii"
"42","Uvaria_chamae"
"43","Uvariastrum_pierreanum"
"44","Uvariopsis_congensis"
"45","Uvariopsis_bakeriana"
"46","Xylopia_acutiflora"
"47","Xylopia_aethiopica"
"48","Xylopia_quintasii"
"49","Xylopia_rubescens"
"50","Xylopia_staudtii"
"51","Alafia_landolphioides"
"52","Alafia_erythrophthalma"
"53","Alstonia_boonei"
"54","Funtumia_africana"
"55","Funtumia_elastica"
"56","Holarrhena_floribunda"
"57","Landolphia_villosa"
"58","Landolphia_hirsuta"
"59","Landolphia_mannii"
"60","Landolphia_parvifolia"
"61","Landolphia_landolphioides"
"62","Landolphia_owariensis"
"63","Picralima_nitida"
"64","Pleiocarpa_mutica"
"65","Saba_comorensis"
"66","Saba_senegalensis"
"67","Tabernaemontana_crassa"
"68","Tabernaemontana_penduliflora"
"69","Tabernaemontana_odoratissima"
"70","Tabernaemontana_pachysiphon"
"71","Tabernaemontana_stapfiana"
"72","Voacanga_africana"
"73","Ilex_mitis"
"74","Astropanax_goetzenii"
"75","Polyscias_fulva"
"76","Borassus_aethiopum"
"77","Elaeis_guineensis"
"78","Eremospatha_macrocarpa"
"79","Phoenix_reclinata"
"80","Raphia_hookeri"
"81","Dracaena_fragrans"
"82","Dracaena_laxissima"
"83","Harungana_madagascariensis"
"84","Impatiens_burtonii"
"85","Impatiens_irvingii"
"86","Impatiens_niamniamensis"
"87","Fernandoa_adolfifriderici"
"88","Kigelia_africana"
"89","Markhamia_lutea"
"90","Slereospermum_kunthianum"
"91","Cordia_millenii"
"92","Cordia_africana"
"93","Canarium_schweinfurthii"
"94","Commiphora_africana"
"95","Pachylobus_edulis"
"96","Pachylobus_normandii"
"97","Pachylobus_klaineanus"
"98","Pachylobus_buettneri"
"99","Santiria_trimera"
"100","Buxus_acutata"
"101","Mammea_africana"
"102","Warburgia_ugandensis"
"103","Celtis_mildbraedii"
"104","Celtis_tessmannii"
"105","Celtis_africana"
"106","Celtis_zenkeri"
"107","Celtis_toka"
"108","Celtis_adolfifriderici"
"109","Celtis_gomphophylla"
"110","Trema_orientale"
"111","Capparis_tomentosa"
"112","Capparis_erythrocarpos"
"113","Crateva_eminens"
"114","Maerua_grantii"
"115","Ritchiea_albersii"
"116","Carica_papaya"
"117","Casuarina_equisetifolia"
"118","Cassine_peragua"
"119","Elaeodendron_buchananii"
"120","Mystroxylon_aethiopicum"
"121","Salacia_debilis"
"122","Salacia_erecta"
"123","Salacia_leptoclada"
"124","Chrysobalanus_icaco"
"125","Maranthes_glabra"
"126","Parinari_excelsa"
"127","Parinari_curatellifolia"
"128","Garcinia_kola"
"129","Garcinia_huillensis"
"130","Pentadesma_butyracea"
"131","Symphonia_globulifera"
"132","Combretum_mossambicense"
"133","Combretum_zeyheri"
"134","Terminalia_superba"
"135","Terminalia_leiocarpa"
"136","Terminalia_myrtifolia"
"137","Terminalia_mollis"
"138","Terminalia_spinosa"
"139","Terminalia_ivorensis"
"140","Aneilema_nyasense"
"141","Palisota_mannii"
"142","Palisota_ambigua"
"143","Palisota_hirsuta"
"144","Palisota_thollonii"
"145","Carduus_schimperi"
"146","Sphaeranthus_kirkii"
"147","Rourea_orientalis"
"148","Ipomoea_aquatica"
"149","Ipomoea_biflora"
"150","Ipomoea_coptica"
"151","Ipomoea_crassipes"
"152","Ipomoea_eriocarpa"
"153","Ipomoea_lapathifolia"
"154","Ipomoea_mombassana"
"155","Ipomoea_obscura"
"156","Ipomoea_pileata"
"157","Ipomoea_venosa"
"158","Costus_afer"
"159","Coccinia_barteri"
"160","Coccinia_mildbraedii"
"161","Cogniauxia_podolaena"
"162","Cucumis_hirsutus"
"163","Cucumis_melo"
"164","Cucumis_sacleuxii"
"165","Lagenaria_abyssinica"
"166","Lagenaria_breviflora"
"167","Peponium_vogelii"
"168","Telfairia_occidentalis"
"169","Zehneria_scabra"
"170","Zehneria_thwaitesii"
"171","Juniperus_procera"
"172","Schoenoplectiella_articulata"
"173","Scleria_microcarpa"
"174","Dichapetalum_unguiculatum"
"175","Dichapetalum_heudelotii"
"176","Dichapetalum_mombuttense"
"177","Tapura_fischeri"
"178","Dioscorea_sansibarensis"
"179","Diospyros_soubreana"
"180","Diospyros_sanzaminika"
"181","Diospyros_abyssinica"
"182","Diospyros_dendo"
"183","Diospyros_iturensis"
"184","Diospyros_polystemon"
"185","Diospyros_suaveolens"
"186","Diospyros_crassiflora"
"187","Diospyros_piscatoria"
"188","Diospyros_mannii"
"189","Diospyros_hoyleana"
"190","Diospyros_monbuttensis"
"191","Diospyros_mespiliformis"
"192","Diospyros_kirkii"
"193","Diospyros_loureiroana"
"194","Erythroxylum_emarginatum"
"195","Acalypha_fruticosa"
"196","Antidesma_vogelianum"
"197","Caperonia_stuhlmannii"
"198","Croton_macrostachyus"
"199","Croton_megalocarpus"
"200","Croton_reflexifolius"
"201","Croton_dichogamus"
"202","Discoglypremna_caloneura"
"203","Euphorbia_hirta"
"204","Euphorbia_systyloides"
"205","Macaranga_kilimandscharica"
"206","Macaranga_schweinfurthii"
"207","Mallotus_oppositifolius"
"208","Manniophyton_fulvum"
"209","Neoboutonia_melleri"
"210","Neoboutonia_macrocalyx"
"211","Plagiostyles_africana"
"212","Ricinodendron_heudelotii"
"213","Shirakiopsis_elliptica"
"214","Shirakiopsis_aubrevillei"
"215","Tragia_furialis"
"216","Acacia_monticola"
"217","Afzelia_bipindensis"
"218","Afzelia_africana"
"219","Afzelia_quanzensis"
"220","Aganope_stuhlmannii"
"221","Alantsilodendron_pilosum"
"222","Albizia_grandibracteata"
"223","Albizia_altissima"
"224","Albizia_dinklagei"
"225","Albizia_ferruginea"
"226","Albizia_gummifera"
"227","Albizia_harveyi"
"228","Albizia_zygia"
"229","Alysicarpus_glumaceus"
"230","Amphimas_pterocarpoides"
"231","Angylocalyx_pynaertii"
"232","Anthonotha_fragrans"
"233","Anthonotha_sassandraensis"
"234","Berlinia_grandiflora"
"235","Biancaea_decapetala"
"236","Bobgunnia_fistuloides"
"237","Brachystegia_eurycoma"
"238","Brachystegia_bussei"
"239","Brachystegia_tamarindoides"
"240","Bussea_occidentalis"
"241","Canavalia_africana"
"242","Cassia_sieberiana"
"243","Cordyla_africana"
"244","Cryptosepalum_staudtii"
"245","Cynometra_alexandri"
"246","Cynometra_megalophylla"
"247","Detarium_macrocarpum"
"248","Detarium_senegalense"
"249","Dialium_polyanthum"
"250","Dialium_zenkeri"
"251","Dialium_pachyphyllum"
"252","Dialium_tessmannii"
"253","Dialium_guineense"
"254","Dialium_lopense"
"255","Dialium_dinklagei"
"256","Erythrophleum_lasianthum"
"257","Erythrophleum_ivorense"
"258","Gilbertiodendron_preussii"
"259","Gilbertiodendron_dewevrei"
"260","Guibourtia_tessmannii"
"261","Hylodendron_gabunense"
"262","Indigofera_colutea"
"263","Indigofera_dendroides"
"264","Julbernardia_brieyi"
"265","Leucaena_leucocephala"
"266","Mildbraediodendron_excelsum"
"267","Millettia_rhodantha"
"268","Millettia_dura"
"269","Millettia_leonensis"
"270","Newtonia_aubrevillei"
"271","Newtonia_buchananii"
"272","Pachyelasma_tessmannii"
"273","Parkia_bicolor"
"274","Parkia_filicoidea"
"275","Parkia_biglobosa"
"276","Pentaclethra_macrophylla"
"277","Piliostigma_thonningii"
"278","Piptadeniastrum_africanum"
"279","Plagiosiphon_emarginatus"
"280","Prosopis_africana"
"281","Pterocarpus_soyauxii"
"282","Schnella_microstachya"
"283","Senegalia_nigrescens"
"284","Tamarindus_indica"
"285","Tephrosia_pumila"
"286","Tephrosia_stormsii"
"287","Tessmannia_anomala"
"288","Tetrapleura_tetraptera"
"289","Tylosema_fassoglense"
"290","Vachellia_robusta"
"291","Vachelliaxanthophloea"
"292","Vigna_friesiorum"
"293","Vigna_frutescens"
"294","Vigna_vexillata"
"295","Vinga_unguiculata"
"296","Dasylepis_eggelingii"
"297","Anthocleista_schweinfurthii"
"298","Illigera_pentaphylla"
"299","Loeseneriella_apocynoides"
"300","Sacoglottis_gabonensis"
"301","Pyrenacantha_sylvestris"
"302","Pyrenacantha_kaurabassana"
"303","Desbordesia_glaucescens"
"304","Irvingia_gabonensis"
"305","Irvingia_grandifolia"
"306","Irvingia_excelsa"
"307","Irvingia_robur"
"308","Klainedoxa_gabonensis"
"309","Klainedoxa_trillesii"
"310","Hoslundia_opposita"
"311","Premna_angolensis"
"312","Vitex_ciliata"
"313","Vitex_doniana"
"314","Vitex_ferruginea"
"315","Vitex_grandifolia"
"316","Vitex_micrantha"
"317","Beilschmiedia_mannii"
"318","Beilschmiedia_ugandensis"
"319","Persea_americana"
"320","Oubanguia_alata"
"321","Scytopetalum_tieghemii"
"322","Scytopetalum_klaineanum"
"323","Scytopetalum_pierreanum"
"324","Hugonia_planchonii"
"325","Hugonia_platysepala"
"326","Hugonia_spicata"
"327","Strychnos_gnetifolia"
"328","Strychnos_aculeata"
"329","Strychnos_innocua"
"330","Strychnos_lucens"
"331","Strychnos_mitis"
"332","Strychnos_madagascariensis"
"333","Agelanthus_brunneus"
"334","Agelanthus_myrsinifolius"
"335","Englerina_woodfordioides"
"336","Tapinanthus_constrictiflorus"
"337","Abutilon_guineense"
"338","Adansonia_digitata"
"339","Ceiba_pentandra"
"340","Christiana_africana"
"341","Cola_congolana"
"342","Cola_lizae"
"343","Cola_gabonensis"
"344","Cola_nitida"
"345","Cola_rostrata"
"346","Cola_gigantea"
"347","Cola_cordifolia"
"348","Desplatsia_dewevrei"
"349","Desplatsia_subericarpa"
"350","Desplatsia_chrysochlamys"
"351","Dombeya_torrida"
"352","Duboscia_macrocarpa"
"353","Duboscia_viridiflora"
"354","Grewia_flavescens"
"355","Grewia_mollis"
"356","Grewia_pubescens"
"357","Grewia_rothii"
"358","Hibiscus_articulatus"
"359","Hibiscus_cannabinus"
"360","Hibiscus_micranthus"
"361","Microcos_africana"
"362","Microcos_coriacea"
"363","Microcos_oligoneura"
"364","Microcos_pinnatifida"
"365","Microcos_seretii"
"366","Microcos_mildbraedii"
"367","Nesogordonia_papaverifera"
"368","Pterygota_mildbraedii"
"369","Sida_acuta"
"370","Sida_rhombifolia"
"371","Sida_spinosa"
"372","Sterculia_tragacantha"
"373","Sterculia_rhinopetala"
"374","Sterculia_dawei"
"375","Theobroma_cacao"
